phase,title,status,free_tier_deliverable,safety_gate,next_artifact
29,透明性センター,foundation,/trustを公開,非公開情報をUIに出さない,/trust
30,公式候補の公開反映ルール,foundation,公式候補の扱いを資料化,個別店舗化しない,PHASE_29_50_EXPANSION_ROADMAP.md
31,エリア別公式確認先の強化,foundation,/sourcesと/coverageを活用,本文転載は禁止,/sources
32,投稿品質スコアの運用設計,foundation,審査観点を整理,公開評価にしない,PHASE_29_50_EXECUTION_MATRIX.csv
33,証拠ファイル確認SOP,foundation,運用SOPで確認,証拠画像を公開しない,OPERATIONS_SOP.md
34,異議申立て再審査基準,foundation,再審査基準を維持,公開維持より再確認,/objection
35,検索流入の安全強化,foundation,種別ページを増強,断定表現を避ける,/topics
36,ゼロ件ページの価値向上,foundation,確認項目と相談導線を表示,報告なしを安全としない,/coverage
37,SNS運用テンプレート拡張,foundation,SNS運用SOPを維持,攻撃誘発を避ける,SNS_OPERATIONS_SOP.md
38,スポンサー審査基準,foundation,収益化方針を公開,掲載独立性を維持,/monetization-policy
39,無料枠計測,foundation,無料枠計測方針を維持,個人情報を計測しない,FREE_TIER_GROWTH_PLAN.md
40,監視と復旧訓練,foundation,監視とバックアップ手順を維持,秘密情報をログに出さない,BACKUP_AND_MONITORING_RUNBOOK.md
41,情報鮮度バッジ,needs_data,管理画面で鮮度確認,古い情報を断定しない,/admin/area-ops
42,相談先連携の整理,foundation,/supportを維持,法的助言にしない,/support
43,法務レビューゲート,external_review,レビュー論点を資料化,人間レビュー必須,LEGAL_REVIEW_NOTES.md
44,管理者処理速度の見える化,needs_data,管理画面で滞留確認,審査を省略しない,/admin
45,公開API方針,foundation,公開ビュー限定方針,非公開情報をAPI化しない,/trust
46,アクセシビリティとスマホUX,foundation,スモークテスト継続,重要注意文を隠さない,tests/smoke.spec.ts
47,公開前自動スキャン,shipped,禁止表現と秘密情報スキャン,人間審査を省略しない,tests/release-artifacts.spec.ts
48,初期データ追加の定例化,needs_data,週次候補化の手順,転載は禁止,DATA_COLLECTION_PLAYBOOK.md
49,収益化実験の開始条件,external_review,AdSense/Sponsor条件整理,広告は掲載判断へ影響しない,ADSENSE_SETUP_GUIDE.md
50,リリースガバナンス,foundation,最終判断基準を固定,危険条件があれば拡大しない,PHASE_29_50_EXPANSION_ROADMAP.md
